keyword,intent_bucket,stage,page_type,parent_hub,priority
lightweight work laptop,problem,early,use-case,best laptops,1
laptop with best keyboard,problem,early,use-case,best laptops,1
laptop with best cooling system,problem,early,use-case,best laptops,1
durable laptop for travel,problem,early,use-case,best laptops,1
water resistant laptop,problem,early,use-case,best laptops,1
rugged laptop for field work,problem,early,use-case,best laptops,1
laptop with best webcam,problem,early,use-case,best laptops,1
laptop with best speakers,problem,early,use-case,best laptops,1
laptop with brightest screen,problem,early,use-case,best laptops,1
laptop with longest battery life,problem,early,use-case,best laptops,1
laptop that doesn’t overheat,problem,early,use-case,best laptops,1
laptop with most USB ports,problem,early,use-case,best laptops,1
quiet gaming laptop,problem,early,use-case,best gaming laptops,1
portable gaming laptop,problem,early,use-case,best gaming laptops,1
fanless notebook for students,problem,early,use-case,best student laptops,1
lightweight business laptop,problem,early,use-case,best business laptops,1
non reflective screen laptop,problem,early,use-case,best laptops,1
best laptop for outdoor use,problem,early,use-case,best laptops,1
best laptop for privacy,problem,early,use-case,best laptops,1
laptop for writers with comfortable keyboard,problem,early,use-case,best laptops,1
laptop for accountants with numpad,problem,early,use-case,best laptops,1
laptop with 17 inch screen and long battery,problem,early,use-case,best laptops,1
laptop with dual screens,problem,early,use-case,best laptops,1
laptop with stylus support,problem,early,use-case,best laptops,1
touchscreen laptop with long battery life,problem,early,use-case,best laptops,1
ultra portable laptop with HDMI port,problem,early,use-case,best laptops,1
laptop with upgradeable RAM,problem,early,use-case,best laptops,1
user replaceable battery laptop,problem,early,use-case,best laptops,1
budget laptop with SSD,problem,early,use-case,best budget laptops,1
budget gaming laptop that stays cool,problem,early,use-case,best budget laptops,1
budget laptop with IPS display,problem,early,use-case,best budget laptops,1
fanless Chromebook,problem,early,use-case,best chromebooks,1
laptop for travel bloggers,problem,early,use-case,best laptops,1
laptop for content creators,problem,early,use-case,best laptops,1
laptop for engineering software,problem,early,use-case,best laptops,1
laptop for CAD work,problem,early,use-case,best laptops,1
laptop for 3D modeling,problem,early,use-case,best laptops,1
laptop for photo editing under $1000,problem,early,use-case,best laptops,1
laptop for video editing under $1500,problem,early,use-case,best laptops for video editing,1
Lenovo ThinkPad X1 Carbon review,brand/model,late,review,best laptops,2
Dell XPS 13 2025 review,brand/model,late,review,best laptops,2
MacBook Air M4 review,brand/model,late,review,best macbooks,2
MacBook Pro M4 review,brand/model,late,review,best macbooks,2
HP Spectre x360 16 review,brand/model,late,review,best laptops,2
Asus ROG Zephyrus G16 review,brand/model,late,review,best laptops,2
Acer Swift Go 14 review,brand/model,late,review,best laptops,2
Microsoft Surface Laptop Studio 2 review,brand/model,late,review,best laptops,2
Razer Blade 16 review,brand/model,late,review,best laptops,2
Alienware x16 R2 review,brand/model,late,review,best laptops,2
LG Gram SuperSlim review,brand/model,late,review,best laptops,2
Samsung Galaxy Book4 Pro review,brand/model,late,review,best laptops,2
Asus Zenbook S 14 OLED review,brand/model,late,review,best laptops,2
HP Envy x360 14 review,brand/model,late,review,best laptops,2
Dell Inspiron 14 Plus review,brand/model,late,review,best laptops,2
Lenovo Yoga 9i review,brand/model,late,review,best laptops,2
Framework Laptop 16 review,brand/model,late,review,best laptops,2
MSI Stealth 16 Studio review,brand/model,late,review,best laptops,2
Gigabyte Aero 16 review,brand/model,late,review,best laptops,2
Lenovo Legion Slim 5 review,brand/model,late,review,best laptops,2
Asus TUF Gaming A16 review,brand/model,late,review,best gaming laptops,2
HP Omen Transcend 16 review,brand/model,late,review,best laptops,2
Dell Latitude 9450 review,brand/model,late,review,best laptops,2
Asus ExpertBook B9 OLED review,brand/model,late,review,best laptops,2
Apple MacBook Air for Students review,brand/model,late,review,best student laptops,2
Acer Chromebook Plus 515 review,brand/model,late,review,best chromebooks,2
HP Dragonfly G4 review,brand/model,late,review,best laptops,2
Lenovo Slim 7i review,brand/model,late,review,best laptops,2
Razer Book 13 review,brand/model,late,review,best laptops,2
Dynabook Portege X40L review,brand/model,late,review,best laptops,2
ROG Zephyrus M2 review,brand/model,late,review,best laptops,2
